Course_number,Course_title,Units,Type,Time,Days,Instructor,Department,Rating_Class,Overall_Rating
ARCH-402aL,"Architectural Design IV","6.0 units",Lecture-Lab,1:00-5:50pm,"Mon, Fri","Jennifer Siegal",Architecture,average,3.1
ARCH-470a,"Architectural Studies Capstone","1.0 unit",Lecture,2:00-3:50pm,Monday,"Lauren Matchison",Architecture,good,4.7
ARCH-522,"Healthcare Design","2.0 units",Lecture,6:30-8:30pm,Wednesday,"Victor Regnier",Architecture,good,3.7
ARCH-524,"Professional Practicum","1.0 units, max 2",Lecture,TBA,TBA,"Charles Lagreco",Architecture,zero,N/A
ARCH-639,"Media for Landscape Architecture: Dynamic Systems","2.0 units",Lecture-Lab,10:00-11:50am,Thursday,"Alexander Robinson",Architecture,zero,N/A
ARCH-692zL,"Building Science Thesis","0.0 units",Lecture-Lab,TBA,TBA,"Marc Schiler",Architecture,good,5.0
ARCH-793aL,"Architecture Directed Design Research Option I","2.0 units",Lecture-Lab,10:00-11:50am,Monday,"Lisa Little",Architecture,good,4.5
ART-280,"Studio Critique I","2.0 units",Lecture,12:00-2:40pm,Monday,"Jean Robison","Fine Arts",zero,N/A
ART-310,"Drawing II","4.0 units",Lecture,9:00-11:40am,"Mon, Wed","Marisa Mandler","Fine Arts",average,3.3
ART-350,"Intermediate Photography: Studio, Field, Independent Project","4.0 units",Lecture,3:00-5:40pm,"Tue, Thu","Julia Paull","Fine Arts",good,4.4
ART-420,"Topics in Advanced Painting","4.0 units, max 12",Lecture,6:00-8:40pm,"Mon, Wed","Keith Mayerson","Fine Arts",good,5.0
ART-430,"Topics in Advanced Ceramics","4.0 units, max 12",Lecture,12:00-2:40pm,"Tue, Thu","Thomas Mueller","Fine Arts",good,5.0
ART-494a,"Senior Thesis","2.0 units, max 4",Lecture,TBA,TBA,"Keith Mayerson","Fine Arts",good,5.0
ASTR-450,"Stellar Astrophysics","4.0 units",Lecture,2:00-3:20pm,MWF,"Geraldine Peters","Physics amp Astronomy",poor,1.0
ASTR-540,"Advanced Cosmology","3.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Elena Pierpaoli","Physics  Astronomy",poor,1.6
BAEP-452,"Feasibility Analysis","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Jill Kickul",Business,poor,1.7
BAEP-475,"Entertainment Entrepreneurship","2.0 units",Lecture,2:00-3:50pm,Monday,"Michael Napoliello",Business,zero,N/A
BAEP-480,"Entrepreneurial Family Business","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Albert Napoli",Business,good,4.5
BAEP-551,"Introduction to New Ventures","3.0 units",Lecture,9:00-5:00pm,MTuWThF,"Thomas Knapp",Business,average,2.5
BAEP-552,"Venture Feasibility","3.0 units",Lecture,6:30-9:30pm,Thursday,"Albert Napoli",Business,good,4.5
BAEP-553,"Cases in New Venture Management","1.5-3.0 units",Lecture,2:00-4:50pm,Wednesday,"Steven Mednick",Business,good,3.7
BME-202,"Control and Communication in the Nervous System","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Bartlett Mel",Engineering,poor,1.8
BME-413,"Bioengineering Signals and Systems","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Brent Liu",Engineering,good,4.3
BUAD-215x,"Foundations of Business Finance","4.0 units",Lecture,8:00-9:50am,"Mon, Wed","Yaron Levi",Business,good,5.0
BUAD-304,"Organizational Behavior and Leadership","4.0 units",Lecture,8:00-9:50am,"Mon, Wed","Michael McGrath",Business,good,4.0
BUAD-310g,"Applied Business Statistics","4.0 units",Lecture,8:00-9:10am,"Mon, Wed","Lorena Martin","Applied Business Statistics",poor,1.0
BUAD-310g,"Applied Business Statistics","4.0 units",Lecture,8:00-9:10am,"Mon, Wed","Lorena Martin","Applied Business Statistics",poor,1.0
BUAD-494,"Marshall Honors Research and Thesis","2.0 units, max 4",Lecture,1:00-2:50pm,Friday,"Vincenzo Quadrini",Economics,good,4.3
BUCO-552,"Defining and Communicating Your Professional Value","1.5 units",Lecture,12:30-1:50pm,"Tue, Thu","Kirk Snyder",Business,good,4.3
CE-215,"Statics and Dynamics","4.0 units",Lecture,11:00-12:50pm,"Mon, Wed","Vincent Lee",Engineering,poor,1.9
CE-453,"Water Quality Science and Engineering","4.0 units",Lecture,6:00-9:20pm,Thursday,"Massoud Pirbazari",Engineering,average,2.6
CE-476,"Design of Hydraulic Systems","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Jj Lee",Engineering,average,3.0
CHE-487,"Nanotechnology and Nanoscale Engineering through Chemical Pr","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Ted Lee",Engineering,good,4.7
CHE-491,"Nanotechnology Research for Undergraduates","2.0 units, max 4",Lecture,TBA,TBA,"Ted Lee",Engineering,good,4.7
CHE-501,"Modeling and Analysis of Chemical Engineering Systems","4.0 units",Lecture,8:30-10:20am,"Mon, Wed","Muhammad Sahimi",Engineering,average,2.8
CHEM-105bL,"General Chemistry","4.0 units",Lecture,7:00-8:20pm,"Tue, Thu","Jessica Parr",Chemistry,good,4.0
CHEM-290cL,"Special Laboratory","1.0 unit",Lecture-Lab,TBA,TBA,"Surya Prakash",Chemistry,zero,N/A
CHEM-290dL,"Special Laboratory","1.0 unit",Lecture-Lab,TBA,TBA,"Surya Prakash",Chemistry,zero,N/A
CHEM-325aL,"Organic Chemistry","4.0 units",Lecture,1:00-1:50pm,MWF,"Kyung Jung",Chemistry,good,4.1
CHEM-467,"Advanced Chemical Biology Laboratory","2.0 units",Lecture-Lab,2:00-6:50pm,Thursday,"Peter Qin",Chemistry,average,2.5
CHEM-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Surya Prakash",Chemistry,zero,N/A
CHEM-494x,"Advanced Research Experience","2.0-4.0 units, max 4",Lecture,TBA,TBA,"Surya Prakash",Chemistry,zero,N/A
CHEM-545,"Theory and Practice of Molecular Electronic Structure","4.0 units",Lecture,10:30-11:50am,"Tue, Thu","Anna Krylov",Chemistry,poor,2.1
CLAS-410a,"Research in Classical Studies","2.0 units",Lecture,TBA,Friday,"Susan Lape","Arts & Letters",average,2.7
CNTV-463,"Television: Integrating Creative and Business Objectives","2.0 units",Lecture,6:00-9:00pm,Wednesday,"Scott Stone",Cinema,good,4.0
CNTV-530,"Cinematic Ethics","1.0 unit",Lecture-Discussion,9:30-11:20am,Monday,"Lisa Leeman",Cinema,poor,2.0
COLT-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Natania Meeker","French  Italian",good,4.4
COLT-510,"Introduction to Translation Studies","4.0 units",Lecture,2:00-4:50pm,Monday,"Peggy Kamuf",Languages,good,4.3
CRIT-556,"Curatorial Practicum: Individual/Group Projects","4.0 units",Lecture,2:00-5:20pm,Tuesday,"Jenny Lin","Fine Arts",good,4.3
CSCI-356,"Introduction to Computer Systems","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Mark Redekopp",Engineering,good,4.8
CSCI-368,"Programming Graphical User Interfaces","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Barrett Koster","Computer Science",good,3.8
CSCI-380,"Video Game Programming","4.0 units",Lecture-Lab,5:00-6:50pm,"Tue, Thu","Sanjay Madhav","Computer Science",good,4.8
CSCI-401,"Capstone: Design and Construction of Large Software Systems","4.0 units, max 8",Lecture,8:00-9:50am,"Mon, Wed","Jeffrey Miller","Computer Science",average,3.3
CSCI-420,"Computer Graphics","4.0 units",Lecture,3:30-6:50pm,Tuesday,"Andrew Nealen",Cinema,good,4.0
CSCI-430,"Introduction to Computer and Network Security","4.0 units",Lecture,2:00-5:20pm,Monday,"Jelena Mirkovic","Computer Science",good,4.0
CSCI-435,"Professional C++","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Sanjay Madhav","Computer Science",good,4.8
CSCI-452,"Parallel and Distributed Computation","4.0 units",Lecture,3:30-4:50pm,"Tue, Thu","Viktor Prasanna",Engineering,poor,1.8
CSCI-454L,"Introduction to System-on-Chip","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Shahin Nazarian",Engineering,good,4.9
CSCI-457,"Computer Systems Organization","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Gandhi Puvvada",Engineering,good,4.0
CSCI-530,"Security Systems","4.0 units",Lecture,9:00-11:50am,Friday,"Clifford Neuman","Computer Science",average,3.5
CSCI-536,"Linear Programming and Extensions","3.0 units",Lecture,6:30-7:50pm,"Mon, Wed","Sima Parisay",Engineering,poor,1.4
CSCI-662,"Advanced Natural Language Processing","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Jonathan May","Computer Science",poor,1.5
CSCI-671,"Randomized Algorithms","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","David Kempe","Computer Science",average,3.3
CSCI-697,"Seminar in Computer Science Research","1.0 units, max 2",Lecture,12:00-12:50pm,Monday,"Cyrus Shahabi","Computer Science",zero,N/A
CSLC-510,"Introduction to Translation Studies","4.0 units",Lecture,2:00-4:50pm,Monday,"Peggy Kamuf",Languages,good,4.3
CTAN-401a,"Senior Project","4.0 units",Lecture-Lab,9:00-11:50am,Tuesday,"Sheila Sofian",Cinema,zero,N/A
CTAN-450b,"Animation Theory and Techniques","2.0 units",Lecture,4:00-5:50pm,Wednesday,"Everett Lewis",Film,good,3.5
CTAN-579,"Expanded Animation","2.0 units",Lecture,4:00-6:50pm,Monday,"Kathy Smith",Cinema,good,5.0
CTPR-438,"Practicum in Producing","2.0 units",Lecture,4:00-6:50pm,Tuesday,"Dan Lupovitz",Cinema,zero,N/A
CTPR-450,"The Production and Post-Production Assistant","2.0 units",Lecture,9:00-11:50am,Tuesday,"Mary Posatko",Cinema,good,5.0
CTPR-531,"Planning the Documentary Production","2.0 units",Lecture-Discussion,9:00-11:50am,Thursday,"Amanda Pope",Cinema,good,5.0
CTPR-532,"Intermediate Directing","2.0 units",Lecture,2:00-5:50pm,Thursday,"Barnet Kellman",Cinema,good,5.0
CTPR-552,"Advanced Directing","2.0 units",Lecture-Discussion,5:00-7:50pm,Thursday,"Everett Lewis",Film,good,3.5
DES-302,"Design III","4.0 units",Lecture,9:00-11:40am,"Tue, Thu","Eric Junker",Business,good,4.2
DES-332b,Typography,"2.0 units",Lecture,12:00-2:40pm,Friday,"Andrew Kutchera",Design,average,3.3
DES-494a,"Senior Thesis","2.0 units",Lecture,6:00-8:40pm,Tuesday,"Brian O'Connell","Arts & Letters",good,5.0
DES-594a,"Master's Thesis","2.0 units",Lecture,TBA,Thursday,"Brian O'Connell","Arts & Letters",good,5.0
DES-594b,"Master's Thesis","2.0 units",Lecture,TBA,Thursday,"Brian O'Connell","Arts & Letters",good,5.0
DSCI-523,"Computer Systems Assurance","4.0 units",Lecture,1:00-4:20pm,Friday,"Clifford Neuman","Computer Science",average,3.5
DSO-505,"Sustainable Supply Chains","1.5 units",Lecture,6:30-9:30pm,Wednesday,"Greys Sosic",Business,average,3.2
DSO-506,"Sourcing and Supplier Management","1.5 units",Lecture,6:30-9:30pm,Wednesday,"Greys Sosic",Business,average,3.2
DSO-522,"Applied Time Series Analysis for Forecasting","1.5-3.0 units",Lecture,9:30-10:50am,"Mon, Wed","Inga Maslova",Business,average,3.4
DSO-545,"Statistical Computing and Data Visualization","3.0 units",Lecture,11:00-1:50pm,Tuesday,"Abbass Sharif",Business,good,4.6
DSO-570,"The Analytics Edge: Data, Models, and Effective Decisions","3.0 units",Lecture,12:30-1:50pm,"Mon, Wed","Hiroshi Ochiumi",Business,good,3.6
DSO-573,"Data Analytics Driven Dynamic Strategy and Execution","3.0 units",Lecture,6:30-9:30pm,Tuesday,"Saeed Mohasseb",Business,poor,1.0
DSO-581,"Supply Chain Management","3.0 units",Lecture,6:30-9:30pm,Thursday,"Bala Subramanian",Business,average,3.0
DSO-621,"Research Forum","1.0 units, max 4",Lecture,2:00-4:50pm,Friday,"Wen Sun",Business,average,3.1
EALC-106,"Chinese II","4.0 units",Lecture,10:00-10:50am,MTuWTh,"Christopher Magriney","East Asian Lang. & Literature",good,4.8
EALC-121,"Extensive Reading in Japanese I","2.0 units, max 4",Lecture,2:00-3:50pm,Thursday,"Yuka Kumagai","East Asian Languages",good,5.0
EALC-221,"Extensive Reading in Japanese II","2.0 units, max 8",Lecture,4:00-5:50pm,Thursday,"Yuka Kumagai","East Asian Languages",good,5.0
EALC-222,"Japanese IV","4.0 units",Lecture,10:00-10:50am,MTuWTh,"Yumi Matsumoto","East Asian Languages",good,4.7
EALC-306,"Advanced Modern Chinese II","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Christopher Magriney","East Asian Lang. & Literature",good,4.8
EALC-315,"Advanced Korean I","4.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Sooran Pak","East Asian Languages",good,5.0
EALC-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Brett Sheehan",History,good,4.2
EASC-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Brett Sheehan",History,good,4.2
EASC-596,"Internship for Curricular Practical Training","1.0-3.0 units, max 3",Lecture,TBA,TBA,"Brett Sheehan",History,good,4.2
ECON-305,"Intermediate Macroeconomic Theory","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Lodovico Pizzati",Economics,average,2.8
ECON-317,"Introduction to Statistics for Economists","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Lodovico Pizzati",Economics,average,2.8
ECON-344,"Economic Development of Sub-Saharan Africa","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","John Strauss",Economics,good,4.3
ECON-357,"Money, Credit, and Banking","4.0 units",Lecture,4:00-5:50pm,"Mon, Wed","Michael Sproul",Economics,zero,N/A
ECON-361,"Understanding Financial Crises","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Juan Saavedra",Economics,good,4.5
ECON-395,"Economic Policy Issues","4.0 units",Lecture,4:00-5:50pm,"Mon, Wed","Yilmaz Kocer",Economics,average,2.9
ECON-401,"Mathematical Methods in Economics","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Mark Moore",Economics,average,3.2
ECON-452,"International Finance","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Mark Moore",Economics,average,3.2
ECON-457,"Financial Markets","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Ladan Masoudie",Economics,average,3.2
ECON-611,"Probability and Statistics for Economists","4.0 units",Lecture,7:00-8:50pm,"Tue, Thu","Geert Ridder",Economics,average,3.3
ECON-642,"Poverty, Human Resources and Economic Development","4.0 units",Lecture,8:00-9:50am,"Tue, Thu","John Strauss",Economics,good,4.3
ECON-659,"Economics of Financial Markets I","4.0 units",Lecture,4:00-6:50pm,Tuesday,"Michael Magill",Economics,average,2.9
ECON-696,"Empirical Microeconomics Seminar","2.0 units, max 8",Lecture,12:00-1:20pm,Monday,"Juan Saavedra",Economics,good,4.5
EDUC-652,"Inquiry Methods III","3.0 units",Lecture,4:00-6:30pm,Tuesday,"Courtney Malloy",Education,zero,N/A
EE-250L,"Distributed Systems for the Internet of Things","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Mark Redekopp",Engineering,good,4.8
EE-301,"Linear Systems","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Chris Kyriakakis",Engineering,good,4.0
EE-354L,"Introduction to Digital Circuits","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Gandhi Puvvada",Engineering,good,4.0
EE-451,"Parallel and Distributed Computation","4.0 units",Lecture,3:30-4:50pm,"Tue, Thu","Viktor Prasanna",Engineering,poor,1.8
EE-454L,"Introduction to System-on-Chip","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Shahin Nazarian",Engineering,good,4.9
EE-457,"Computer Systems Organization","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Gandhi Puvvada",Engineering,good,4.0
EE-470,"Electromagnetics II","3.0 units",Lecture,8:00-9:20am,"Tue, Thu","Aluizio Prata",Engineering,good,3.5
EE-477L,"MOS VLSI Circuit Design","4.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Alice Parker",Engineering,good,4.2
EE-512,"Stochastic Processes","3.0 units",Lecture,5:30-8:20pm,Friday,"Osonde Osoba",Engineering,poor,1.0
EE-546,"Mathematics of High-Dimensional Data","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Mahdi Soltanolkotabi",Engineering,zero,N/A
EE-550,"Data Networks: Design and Analysis","4.0 units",Lecture,8:00-9:50am,"Tue, Thu","Michael Neely",Engineering,good,4.8
EE-577b,"VLSI System Design","3.0 units",Lecture,3:30-4:50pm,"Mon, Wed","Shahin Nazarian",Engineering,good,4.9
EE-588,"Optimization for the Information and Data Sciences","4.0 units",Lecture,3:30-5:20pm,"Mon, Wed","Mahdi Soltanolkotabi",Engineering,zero,N/A
EE-597,"Wireless Networks","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Bhaskar Krishnamachari",Engineering,good,4.7
EE-648,"Network Economics and Games","3.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Ashutosh Nayyar",Engineering,good,4.2
EE-653,"Advanced Topics in Microarchitecture","3.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Xuehai Qian",Engineering,good,3.8
ENE-215,"Energy Systems and Environmental Tradeoffs","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Kelly Sanders",Engineering,good,4.8
ENGL-310,"Editing for Writers","4.0 units",Lecture,4:30-6:50pm,Wednesday,"Susan Segal",English,good,4.8
ENGL-421,"English Literature of the 16th Century","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Rebecca Lemon",English,good,4.7
ENGL-426,"Modern English Literature (1890-1945)","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Anthony Kemp",English,good,3.8
ENGL-492,"Narrative Studies Capstone Seminar","4.0 units",Lecture,2:00-4:20pm,Thursday,"David Roman",English,good,3.5
ENST-270,"Introduction to Environmental Law and Politics","4.0 units",Lecture,4:00-6:50pm,Wednesday,"Darry Sragow","Political Science",good,5.0
ENST-320b,"Water and Soil Sustainability: Energy and Air Sustainability","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Victoria Petryshyn","Environmental Studies",good,3.7
ENST-445,"Earth Climate: Past, Present, and Future","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Victoria Petryshyn","Environmental Studies",good,3.7
FBE-421,"Financial Analysis and Valuation","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Lloyd Levitin",Finance,good,3.6
FBE-441,Investments,"4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Mete Kilic",Finance,average,2.8
FBE-441,Investments,"4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Mete Kilic",Business,zero,N/A
FBE-460,"Mergers, Acquisitions and Restructuring","4.0 units",Lecture,4:00-5:50pm,"Mon, Wed","Lloyd Levitin",Finance,good,3.6
FBE-462,"International Trade, Finance and Commercial Policy","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Mohammad Safarzadeh",Economics,good,3.9
FBE-506,"Quantitative Methods in Finance","3.0 units",Lecture,5:00-6:20pm,"Tue, Thu","Mohammad Safarzadeh",Economics,good,3.9
FBE-529,"Financial Analysis and Valuation","3.0 units",Lecture,6:30-9:30pm,Tuesday,"Julia Plotts",Finance,good,4.4
FBE-634a,"Advanced Asset Pricing","1.5 units",Lecture,4:00-7:00pm,Thursday,"Mete Kilic",Finance,average,2.8
FBE-634a,"Advanced Asset Pricing","1.5 units",Lecture,4:00-7:00pm,Thursday,"Mete Kilic",Business,zero,N/A
FREN-220,"French III","4.0 units",Lecture,8:00-8:50am,MTuWTh,"Jennifer Misran","French  Italian",good,4.5
FREN-250,"French IV","4.0 units",Lecture,10:00-11:50am,"Wed, Fri","Guilan Siassi","French & Italian",good,4.2
FREN-300,"French Grammar and Composition","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Atiyeh Showrai",Languages,good,4.5
GEOL-445,"Earth Climate: Past, Present, and Future","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Victoria Petryshyn","Environmental Studies",good,3.7
GEOL-535L,"Microstructures and Deformation Mechanisms","3.0 units",Lecture,1:00-1:50pm,Tuesday,"John Platt",Geology,average,3.5
GERM-102,"German II","4.0 units",Lecture,10:00-10:50am,MTuWTh,"Eve Lee","Slavic Languages  Literatures",good,4.4
GSBA-502,"Management Communication for Leaders","3.0 units",Lecture,TBA,TBA,"Marion Philadelphia",Business,good,5.0
GSBA-523t,"Communication for Accounting and Tax Professionals","3.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Shirley Maxey",Accounting,good,3.9
GSBA-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Dina Mayzlin",Marketing,average,3.4
HBIO-360,"Nutrition and Disease","4.0 units",Lecture,3:30-4:50pm,"Tue, Thu","Gioia Polidori",Kinesiology,good,5.0
HBIO-405,"Evolutionary Medicine","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Gioia Polidori",Kinesiology,good,5.0
HBIO-441L,"Prevention of Athletic Injuries","4.0 units",Lecture-Lab,4:00-6:50pm,Monday,"Helaine Lopes","Biological Sciences",average,3.3
IDSN-515,"Professional Practices Residential","2.0 units, max 4",Lecture,TBA,TBA,"Matthew Manos",Business,good,5.0
IDSN-520,"Design Essentials","3.0 units",Lecture,5:30-6:50pm,Wednesday,"Aaron Siegel",Design,average,2.7
INTD-596,"Internship for Curricular Practical Training","1.0-3.0 units, max 3",Lecture,TBA,TBA,"Ite Offringa","Biological Sciences",zero,N/A
IR-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Saori Katada","Political Science",good,4.7
IRAN-220,"Persian III","4.0 units",Lecture,11:00-11:50am,MTuWTh,"Peyman Nojoumian",Linguistics,good,4.9
ISE-225,"Engineering Statistics I","3.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Kurt Palmer",Engineering,poor,2.3
ISE-435,"Discrete Systems Simulation","3.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Kurt Palmer",Engineering,poor,2.3
ISE-440,"Work, Technology, and Organization","3.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Mansour Rahimi",Engineering,average,3.0
ISE-460,"Engineering Economy","3.0 units",Lecture,6:40-9:20pm,Monday,"Erich Kreidler",Engineering,good,4.2
ISE-482,"Engineering Database Applications","3.0 units",Lecture-Lab,12:30-1:50pm,"Tue, Thu","Kimberly Rubal","Computer Science",good,4.8
ISE-487,"Enterprise Data Analytics","4.0 units",Lecture-Lab,2:00-3:50pm,"Mon, Wed","Mike Lee","Information Science",poor,2.2
ISE-487,"Enterprise Data Analytics","4.0 units",Lecture-Lab,2:00-3:50pm,"Mon, Wed","Mike Lee","Computer Science",zero,N/A
ISE-536,"Linear Programming and Extensions","3.0 units",Lecture,6:30-7:50pm,"Mon, Wed","Sima Parisay",Engineering,poor,1.4
ISE-651,"Seminar in Industrial &amp; Systems Engineering","1.0 units, max 4",Lecture,3:30-4:50pm,Tuesday,"Suvrajeet Sen",Engineering,good,3.6
ISE-671,"Randomized Algorithms","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","David Kempe","Computer Science",average,3.3
ITAL-461,"Italian Theatre","4.0 units",Lecture,3:30-4:50pm,"Mon, Wed","Francesca Leardini",Languages,good,4.0
ITP-301,"Front-End Web Development","4.0 units",Lecture-Lab,4:00-5:50pm,"Tue, Thu","Zune Nguyen",Engineering,good,5.0
ITP-303,"Full-Stack Web Development","4.0 units",Lecture-Lab,12:00-1:50pm,"Tue, Thu","Nayeon Kim",Engineering,good,4.8
ITP-304,"Back-End Web Development","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Zune Nguyen",Engineering,good,5.0
ITP-325,"Ethical Hacking and Systems Defense","3.0 units",Lecture-Lab,6:00-8:50pm,Wednesday,"Caesar Sedek",Engineering,good,5.0
ITP-341,"Android App Development","4.0 units",Lecture,6:00-7:50pm,"Mon, Wed","Bennett Lee","Computer Science",good,4.6
ITP-348,"Introduction to Physical Computing","4.0 units",Lecture-Lab,4:00-5:50pm,"Tue, Thu","Robert Parke",Engineering,good,5.0
ITP-368,"Programming Graphical User Interfaces","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Barrett Koster","Computer Science",good,3.8
ITP-380,"Video Game Programming","4.0 units",Lecture-Lab,5:00-6:50pm,"Tue, Thu","Sanjay Madhav","Computer Science",good,4.8
ITP-425,"Web Application Security","4.0 units",Lecture-Lab,5:00-8:50pm,Tuesday,"Andy Portillo","Computer Science",zero,N/A
ITP-435,"Professional C++","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Sanjay Madhav","Computer Science",good,4.8
ITP-480,"Information Technology Internship","1.0-4.0 units, max 8",Lecture-Lab,TBA,TBA,"Jeffrey Miller","Computer Science",average,3.3
ITP-482,"Engineering Database Applications","3.0 units",Lecture-Lab,12:30-1:50pm,"Tue, Thu","Kimberly Rubal","Computer Science",good,4.8
ITP-487,"Enterprise Data Analytics","4.0 units",Lecture-Lab,2:00-3:50pm,"Mon, Wed","Mike Lee","Information Science",poor,2.2
ITP-487,"Enterprise Data Analytics","4.0 units",Lecture-Lab,2:00-3:50pm,"Mon, Wed","Mike Lee","Computer Science",zero,N/A
JOUR-323,"Journalism and the Audience","2.0 units",Lecture,4:00-5:40pm,Monday,"Adriana Lacy",Journalism,good,5.0
JOUR-411,"Broadcast and Digital Writing for Video and Audio for Non-Ma","2.0 units",Lecture,9:00-10:40am,Monday,"Lewis Rothbart",Communication,zero,N/A
LAW-614,"Accounting for Lawyers","2.0-3.0 units",Lecture,2:15-4:45pm,Thursday,"Adrian Stern",Accounting,good,3.6
LAW-701,"Child Interviewing Practicum","1.0-4.0 units",Lecture,10:00-11:50am,Thursday,"Tom Lyon",Law,good,5.0
LAW-880,"Equality and Difference","2.0-3.0 units",Lecture,10:15-11:55am,Thursday,"Nomi Stolzenberg",Law,good,4.4
LING-302,"Introduction to Syntax and Semantics","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Audrey Li",Linguistics,good,3.8
LING-401,"Advanced Phonology","4.0 units",Lecture,12:30-2:00pm,"Mon, Wed","Stephanie Shih",Linguistics,average,3.0
LING-406,Psycholinguistics,"4.0 units",Lecture,11:00-12:30pm,"Tue, Thu","Elsi Kaiser",Linguistics,good,5.0
LING-410,"Second Language Acquisition","4.0 units",Lecture,3:30-4:50pm,"Mon, Wed","Audrey Li",Linguistics,good,3.8
LING-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Andrew Simpson",Linguistics,good,4.7
LING-505c,"Seminar in Linguistics","1.0 unit",Lecture,3:30-4:50pm,Monday,"Stephanie Shih",Linguistics,average,3.0
LING-593x,"Practicum in Teaching the Liberal Arts: Linguistics","2.0 units",Lecture,3:30-4:50pm,Wednesday,"Stephanie Shih",Linguistics,average,3.0
MASC-512,"Thin Film Science and Technology","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Jayakanth Ravichandran",Science,poor,2.0
MATH-208x,"Elementary Probability and Statistics","4.0 units",Lecture,2:00-2:50pm,MWF,"Stanislav Minsker",Mathematics,average,3.0
MATH-226g,"Calculus III","4.0 units",Lecture,9:00-9:50am,MWF,"Qingtang Su",Mathematics,average,3.0
MATH-226g,"Calculus III","4.0 units",Lecture,9:00-9:50am,MWF,"Qingtang Su",Mathematics,average,3.0
MATH-226g,"Calculus III","4.0 units",Lecture,9:00-9:50am,MWF,"Qingtang Su",Mathematics,average,3.0
MATH-229,"Calculus III for Engineers and Scientists","4.0 units",Lecture,9:00-9:50am,MWF,"Ramtin Sheikhhassani",Mathematics,good,4.7
MATH-408,"Mathematical Statistics","4.0 units",Lecture,9:00-9:50am,MWF,"Sergey Lototsky",Mathematics,average,3.0
